,Address,MLS No,Penthouse,Renovation,Cats,Dogs,Ocean View,City View,Mountain View,Park View,Balcony,Storage,Pool,Laundry,Gym,Finished Floor,Lot Size,Year Built,Parking Space,Fireplace,Bedrooms,Total Bathrooms,Half Baths,Full Baths,Waiting Period,Floor,Latitude,Longitude,Land Only,Multifamily,Residential Attached,Residential Detached,Residential Detached,1/2 Duplex,Apartment/Condo,Duplex,Other,Other,Recreational,Residential Detached,Residential Detached,Row House (Non-Strata),Townhouse,Triplex,First Nations Lease,Freehold NonStrata,Freehold Strata,Leasehold not prepaid-NonStrata,Leasehold not prepaid-Strata,Leasehold prepaid-NonStrata,Leasehold prepaid-Strata,Other,Other,Shares in Co-operative,Undivided Interest,List Price,Sold Price,Sold Price per SqFt,List Date,Sold Date,Days on Market
47,116 74 MINER STREET,2330630,0,1,1,1,0,0,0,1,0,1,0,1,0,916,0,1988,1,1,2,2,0,2,0,1,49.2193126,-122.8966218,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,399000,420000,458.52,1/8/2019,1/15/2019,7
48,795 ANDOVER CRESCENT,2354970,0,0,0,0,1,1,0,0,1,0,0,0,0,8286,13912,2019,0,4,6,8,2,6,0,0,50.6564823,-120.097174,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8980000,7428571,896.52,4/3/2019,04/06/2019,3
49,1449 CHARTWELL DRIVE,2267600,0,0,0,0,1,1,0,0,0,0,0,0,0,6522,12281,2016,0,2,5,7,2,5,0,0,49.1604704,-122.8204432,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7880000,7480000,1074,5/11/2018,4/17/2019,341
50,718 SOUTHBOROUGH DRIVE,2335472,0,1,0,0,1,1,0,0,0,0,0,0,0,7364,23958,2012,6,3,6,8,2,6,0,0,49.3448094,-123.1335212,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8580000,7500000,1018,1/19/2019,3/31/2019,71
51,1235 W 39TH AVENUE,2240315,0,0,0,0,0,0,0,0,0,0,0,0,0,5766,8500,2016,4,1,6,8,1,7,0,0,49.2365698,-123.1640862,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8888000,7800000,1352,2/12/2018,1/13/2019,335
52,1475 TOLMIE STREET,2334584,0,0,0,0,1,1,1,1,0,0,0,0,0,3106,8994,2007,3,2,3,3,1,2,0,0,49.2696576,-123.211959,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8999000,7900000,2543,1/22/2019,5/30/2019,128
53,1175 EYREMOUNT DRIVE,2320715,0,0,0,0,1,1,1,1,0,0,0,0,0,10269,19130,2015,12,4,6,10,2,8,0,0,49.3525106,-123.1391885,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13800000,8000000,779.04,11/5/2018,5/14/2019,190
54,1411 CHARTWELL DRIVE,2330038,0,0,0,0,1,1,0,1,0,0,0,0,0,6330,14224,2017,6,1,6,8,2,6,0,0,49.1604704,-122.8204432,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9880000,8050000,1271,1/6/2019,01/07/2019,1
55,6076 ANGUS DRIVE,2376147,0,0,0,0,0,0,0,0,0,0,0,0,0,5307,9772,2016,4,1,6,7,1,6,0,0,49.210652,-123.1485785,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9980000,8160000,1537,5/29/2019,5/30/2019,1
56,301 1169 W CORDOVA STREET,2342250,0,0,1,1,1,1,1,1,0,1,1,0,1,2529,0,2006,3,4,2,3,1,2,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8890000,8200000,3242,2/20/2019,4/20/2019,59
57,3589 GRANVILLE STREET,2317297,0,0,0,0,0,0,0,0,0,0,0,0,0,8895,33026,1912,12,3,8,7,0,7,0,0,49.2570687,-123.1388086,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8888000,8388000,943,10/22/2018,01/01/2019,71
58,310 12248 224 STREET,2350608,0,0,0,0,0,0,0,0,1,1,0,1,0,921,0,2008,2,1,2,2,0,2,0,3,49.2686555,-122.5985197,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,429800,420000,456.03,3/20/2019,4/13/2019,24
59,3293 POINT GREY ROAD,2342542,0,1,0,0,1,1,1,1,0,0,0,0,0,2563,4405,1965,1,1,3,3,0,3,0,0,49.2717083,-123.1674375,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8800000,8500000,3316,2/21/2019,2/25/2019,4
60,7465 TREETOP LANE,2232240,0,1,0,0,0,0,0,0,0,0,0,0,0,7066,14509,2018,4,2,6,8,1,7,0,0,49.3286005,-123.0063767,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9900000,9000000,1273,1/12/2018,2/21/2019,405
61,6188 MACDONALD STREET,2356242,0,0,0,0,0,0,0,0,0,0,0,0,0,9709,33066,2000,4,5,6,8,2,6,0,0,49.2651774,-123.1684261,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13880000,9800000,1009,4/4/2019,4/27/2019,23
62,303 4369 MAIN STREET,2357340,0,0,0,0,0,0,1,1,0,0,1,1,1,405,0,1997,0,1,1,1,0,1,0,3,50.1182025,-122.9579807,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,459000,420000,1037,4/8/2019,05/05/2019,27
63,117 7295 MOFFATT ROAD,2365790,0,0,1,0,0,0,0,0,0,1,1,0,0,1062,0,1981,1,1,2,2,1,1,0,1,49.1621118,-123.1436405,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,429995,420000,395.48,5/1/2019,05/06/2019,5
64,208 235 W 4TH STREET,2329985,0,0,0,0,1,1,0,0,1,1,0,1,0,600,0,1981,1,0,1,1,0,1,0,2,49.31585975,-123.0809241,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,465000,420000,700,1/7/2019,03/03/2019,55
65,5 1470 LAUREL STREET,2358345,0,0,1,1,0,0,1,0,0,1,1,1,0,850,0,1980,2,0,2,1,0,1,0,0,49.2586861,-123.1243709,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,439000,420000,494.12,4/9/2019,4/20/2019,11
66,42 11900 228 STREET,2354187,0,0,0,0,0,0,1,0,1,0,0,1,0,886,0,1981,1,1,2,2,1,1,0,0,49.2357025,-122.5903199,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,269900,245000,276.52,3/31/2019,5/22/2019,52
67,210 617 SMITH AVENUE,2366497,0,0,0,0,0,0,0,1,1,1,0,1,0,604,0,2013,1,0,1,1,0,1,0,2,49.2348449,-123.0198995,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,425000,420000,695.36,5/6/2019,05/09/2019,3
68,340 5880 DOVER CRESCENT,2341180,0,0,0,0,1,0,1,0,1,0,0,1,0,687,0,1996,1,1,1,1,0,1,0,3,49.172332,-123.1621969,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,445000,420000,611.35,2/14/2019,4/19/2019,64
